Term,Label,Definition,InstanceOf,aiqv:inCategroy,aiqv:inDimension,skos:broader,Source,Notes,,,,,,,,,,,,,,,,,,,,,
SystemQualityDimensions,System Quality Dimensions,Quality associated with AI Systems,aiqv:Category,,,,,,,,,,,,,,,,,,,,,,,,,,
SystemPerformance,System Performance,performance of an AI system means the ability of an AI system to achieve its intended purpose,aiqv:Dimension,eu-aiact:SystemQuality,,,AI Act Article 3(18),,,,,,,,,,,,,,,,,,,,,,
Transparency,Transparency,Transparency of the operation of AI system,aiqv:Dimension,"eu-aiact:SystemQuality, eu-aiact:ModelQuality",,,AI Act Article 13,,,,,,,,,,,,,,,,,,,,,,
Interpretabilty,Interpretabilty,Interpretabilty of system’s output,aiqv:Dimension,eu-aiact:SystemQuality,,,AI Act Article 13,,,,,,,,,,,,,,,,,,,,,,
Accuracy,Accuracy,MISSING,aiqv:Dimension,eu-aiact:SystemQuality,,,AI Act Article 15,,,,,,,,,,,,,,,,,,,,,,
Robustness,Robustness,MISSING,aiqv:Dimension,eu-aiact:SystemQuality,,,AI Act Article 15,,,,,,,,,,,,,,,,,,,,,,
Resilience,Resilience,MISSING,aiqv:Dimension,eu-aiact:SystemQuality,,,AI Act Article 15(4),,,,,,,,,,,,,,,,,,,,,,
FaultTolerance,Fault Tolerance,MISSING,aiqv:Dimension,eu-aiact:SystemQuality,,,AI Act Article 15(4),,,,,,,,,,,,,,,,,,,,,,
ModelQualityDimensions,Model Quality Dimensions,Quality associated with AI Models,aiqv:Category,,,,,,,,,,,,,,,,,,,,,,,,,,
ComputationalPerformance,Computational Performance,MISSING,aiqv:Dimension,eu-aiact:ModelQuality,,,AI Act Annex XIII (c),,,,,,,,,,,,,,,,,,,,,,
DataQualityDimensions,Data Quality Dimensions,Quality associated with data and data sets,dqv:Category,,,,,,,,,,,,,,,,,,,,,,,,,,
DataAvailability,Data Availability,MISSING,dqv:Dimension,eu-aiact:DataQuality,,,AI Act Article 10(1)(e),,,,,,,,,,,,,,,,,,,,,,
DataQuantity,Data Quantity,MISSING,dqv:Dimension,eu-aiact:DataQuality,,,AI Act Article 10(1)(e),,,,,,,,,,,,,,,,,,,,,,
DataSuitability,Data Suitability,MISSING,dqv:Dimension,eu-aiact:DataQuality,,,AI Act Article 10(1)(e),,,,,,,,,,,,,,,,,,,,,,
DataRelevance,Data Relevance,"Relevance of Training, validation and testing data sets in respect to the intended purpose.",dqv:Dimension,eu-aiact:DataQuality,,,AI Act Article 10(3),,,,,,,,,,,,,,,,,,,,,,
DataRepresentativeness,Data Representativeness,"Representativeness of Training, validation and testing data sets in respect to the intended purpose.",dqv:Dimension,eu-aiact:DataQuality,,,AI Act Article 10(3),,,,,,,,,,,,,,,,,,,,,,
ErrorFree,Error Free,MISSING,dqv:Dimension,eu-aiact:DataQuality,,,AI Act Article 10(3),"The AI Act uses the phrasing ""free of errors"", which we have adapted as ""error free"" without changing its intended meaning. We also considered using ""Accuracy"", but decided against it as ""error"" is a broader concept of which ""accuracy"" only represents a partial perspective",,,,,,,,,,,,,,,,,,,,,
DataCompleteness,Data Completeness,"Completeness of Training, validation and testing data sets in respect to the intended purpose.",dqv:Dimension,eu-aiact:DataQuality,,,AI Act Article 10(3),,,,,,,,,,,,,,,,,,,,,,
FloatingPointOperations,Floating Point Operations,MISSING,aiqv:Metric,,eu-aiact:ComputationalPerformance,,AI Act Annex XIII (c),,,,,,,,,,,,,,,,,,,,,,
ModelTrainingCost,Model Training Cost,MISSING,aiqv:Metric,,eu-aiact:ComputationalPerformance,,AI Act Annex XIII (c),,,,,,,,,,,,,,,,,,,,,,
ModelTrainingTime,Model Training Time,MISSING,aiqv:Metric,,eu-aiact:ComputationalPerformance,,AI Act Annex XIII (c),,,,,,,,,,,,,,,,,,,,,,
ModelTrainingEnergyConsumption,Model Training Energy Consumption,MISSING,aiqv:Metric,,eu-aiact:ComputationalPerformance,,AI Act Annex XIII (c),,,,,,,,,,,,,,,,,,,,,,
