"term","type","iri","label","definition","dpvtype","subclassof","hasbroader","scopenote","created","modified","vocab","namespace"
"Accuracy","class","https://w3id.org/dpv/aiqv/eu-aiact#Accuracy","Accuracy","MISSING","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"ComputationalPerformance","class","https://w3id.org/dpv/aiqv/eu-aiact#ComputationalPerformance","Computational Performance","MISSING","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"DataAvailability","class","https://w3id.org/dpv/aiqv/eu-aiact#DataAvailability","Data Availability","MISSING","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"DataCompleteness","class","https://w3id.org/dpv/aiqv/eu-aiact#DataCompleteness","Data Completeness","Completeness of Training, validation and testing data sets in respect to the intended purpose.","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"DataQualityDimensions","class","https://w3id.org/dpv/aiqv/eu-aiact#DataQualityDimensions","Data Quality Dimensions","Quality associated with data and data sets","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"DataQuantity","class","https://w3id.org/dpv/aiqv/eu-aiact#DataQuantity","Data Quantity","MISSING","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"DataRelevance","class","https://w3id.org/dpv/aiqv/eu-aiact#DataRelevance","Data Relevance","Relevance of Training, validation and testing data sets in respect to the intended purpose.","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"DataRepresentativeness","class","https://w3id.org/dpv/aiqv/eu-aiact#DataRepresentativeness","Data Representativeness","Representativeness of Training, validation and testing data sets in respect to the intended purpose.","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"DataSuitability","class","https://w3id.org/dpv/aiqv/eu-aiact#DataSuitability","Data Suitability","MISSING","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"ErrorFree","class","https://w3id.org/dpv/aiqv/eu-aiact#ErrorFree","Error Free","MISSING","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"FaultTolerance","class","https://w3id.org/dpv/aiqv/eu-aiact#FaultTolerance","Fault Tolerance","MISSING","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"FloatingPointOperations","class","https://w3id.org/dpv/aiqv/eu-aiact#FloatingPointOperations","Floating Point Operations","MISSING","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"Interpretabilty","class","https://w3id.org/dpv/aiqv/eu-aiact#Interpretabilty","Interpretabilty","Interpretabilty of system’s output","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"ModelQualityDimensions","class","https://w3id.org/dpv/aiqv/eu-aiact#ModelQualityDimensions","Model Quality Dimensions","Quality associated with AI Models","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"ModelTrainingCost","class","https://w3id.org/dpv/aiqv/eu-aiact#ModelTrainingCost","Model Training Cost","MISSING","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"ModelTrainingEnergyConsumption","class","https://w3id.org/dpv/aiqv/eu-aiact#ModelTrainingEnergyConsumption","Model Training Energy Consumption","MISSING","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"ModelTrainingTime","class","https://w3id.org/dpv/aiqv/eu-aiact#ModelTrainingTime","Model Training Time","MISSING","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"Resilience","class","https://w3id.org/dpv/aiqv/eu-aiact#Resilience","Resilience","MISSING","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"Robustness","class","https://w3id.org/dpv/aiqv/eu-aiact#Robustness","Robustness","MISSING","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"SystemPerformance","class","https://w3id.org/dpv/aiqv/eu-aiact#SystemPerformance","System Performance","performance of an AI system means the ability of an AI system to achieve its intended purpose","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"SystemQualityDimensions","class","https://w3id.org/dpv/aiqv/eu-aiact#SystemQualityDimensions","System Quality Dimensions","Quality associated with AI Systems","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
"Transparency","class","https://w3id.org/dpv/aiqv/eu-aiact#Transparency","Transparency","Transparency of the operation of AI system","","","","","","","eu-aiact","https://w3id.org/dpv/aiqv/eu-aiact"
