Term,Label,Definition,ParentType,ParentTerm,Category,Dimension,Source,Notes,Status,,,,,,,,,,,,,,,,,,,,
SystemQuality,System Quality,Quality associated with AI Systems,dqv:Category,,,,,,accepted,,,,,,,,,,,,,,,,,,,,
SystemPerformance,System Performance,performance of an AI system means the ability of an AI system to achieve its intended purpose,dqv:Dimension,,eu-aiact:SystemQuality,,AI Act Article 3(18),,accepted,,,,,,,,,,,,,,,,,,,,
Transparency,Transparency,Transparency of the operation of AI system,dqv:Dimension,,"eu-aiact:SystemQuality,eu-aiact:ModelQuality",,AI Act Article 13,,accepted,,,,,,,,,,,,,,,,,,,,
Interpretability,Interpretability,Interpretabilty of system’s output,dqv:Dimension,,eu-aiact:SystemQuality,,AI Act Article 13,,accepted,,,,,,,,,,,,,,,,,,,,
Accuracy,Accuracy,MISSING,dqv:Dimension,,eu-aiact:SystemQuality,,AI Act Article 15,,accepted,,,,,,,,,,,,,,,,,,,,
Robustness,Robustness,MISSING,dqv:Dimension,,eu-aiact:SystemQuality,,AI Act Article 15,,accepted,,,,,,,,,,,,,,,,,,,,
Resilience,Resilience,MISSING,dqv:Dimension,,eu-aiact:SystemQuality,,AI Act Article 15(4),,accepted,,,,,,,,,,,,,,,,,,,,
FaultTolerance,Fault Tolerance,MISSING,dqv:Dimension,,eu-aiact:SystemQuality,,AI Act Article 15(4),,accepted,,,,,,,,,,,,,,,,,,,,
ModelQuality,Model Quality,Quality associated with AI Models,dqv:Category,,,,,,accepted,,,,,,,,,,,,,,,,,,,,
ComputationalPerformance,Computational Performance,MISSING,dqv:Dimension,,eu-aiact:ModelQuality,,AI Act Annex XIII (c),,accepted,,,,,,,,,,,,,,,,,,,,
DataQuality,Data Quality,Quality associated with data and data sets,dqv:Category,,,,,,accepted,,,,,,,,,,,,,,,,,,,,
DataAvailability,Data Availability,MISSING,dqv:Dimension,,eu-aiact:DataQuality,,AI Act Article 10(1)(e),,accepted,,,,,,,,,,,,,,,,,,,,
DataQuantity,Data Quantity,MISSING,dqv:Dimension,,eu-aiact:DataQuality,,AI Act Article 10(1)(e),,accepted,,,,,,,,,,,,,,,,,,,,
DataSuitability,Data Suitability,MISSING,dqv:Dimension,,eu-aiact:DataQuality,,AI Act Article 10(1)(e),,accepted,,,,,,,,,,,,,,,,,,,,
DataRelevance,Data Relevance,"Relevance of Training, validation and testing data sets in respect to the intended purpose.",dqv:Dimension,,eu-aiact:DataQuality,,AI Act Article 10(3),,accepted,,,,,,,,,,,,,,,,,,,,
DataRepresentativeness,Data Representativeness,"Representativeness of Training, validation and testing data sets in respect to the intended purpose.",dqv:Dimension,,eu-aiact:DataQuality,,AI Act Article 10(3),,accepted,,,,,,,,,,,,,,,,,,,,
ErrorFree,Error Free,MISSING,dqv:Dimension,,eu-aiact:DataQuality,,AI Act Article 10(3),"The AI Act uses the phrasing ""free of errors"", which we have adapted as ""error free"" without changing its intended meaning. We also considered using ""Accuracy"", but decided against it as ""error"" is a broader concept of which ""accuracy"" only represents a partial perspective",accepted,,,,,,,,,,,,,,,,,,,,
DataCompleteness,Data Completeness,"Completeness of Training, validation and testing data sets in respect to the intended purpose.",dqv:Dimension,,eu-aiact:DataQuality,,AI Act Article 10(3),,accepted,,,,,,,,,,,,,,,,,,,,
FloatingPointOperations,Floating Point Operations,MISSING,dqv:Metric,,,eu-aiact:ComputationalPerformance,AI Act Annex XIII (c),,accepted,,,,,,,,,,,,,,,,,,,,
ModelTrainingCost,Model Training Cost,MISSING,dqv:Metric,,,eu-aiact:ComputationalPerformance,AI Act Annex XIII (c),,accepted,,,,,,,,,,,,,,,,,,,,
ModelTrainingTime,Model Training Time,MISSING,dqv:Metric,,,eu-aiact:ComputationalPerformance,AI Act Annex XIII (c),,accepted,,,,,,,,,,,,,,,,,,,,
ModelTrainingEnergyConsumption,Model Training Energy Consumption,MISSING,dqv:Metric,,,eu-aiact:ComputationalPerformance,AI Act Annex XIII (c),,accepted,,,,,,,,,,,,,,,,,,,,
